iter	Passed	Remaining
200	2935	143109
201	2948	143020
202	2963	143004
203	2979	143060
204	2995	143137
205	3010	143140
206	3026	143198
207	3041	143191
208	3056	143184
209	3071	143201
210	3084	143087
211	3096	142975
212	3108	142850
213	3121	142739
214	3133	142621
215	3145	142500
216	3159	142429
217	3172	142363
218	3187	142359
219	3200	142297
220	3214	142237
221	3229	142233
222	3245	142303
223	3258	142230
224	3274	142255
225	3288	142239
226	3302	142170
227	3315	142118
228	3328	142035
229	3343	142009
230	3356	141960
231	3370	141914
232	3385	141915
233	3398	141856
234	3412	141795
235	3424	141673
236	3437	141622
237	3453	141631
238	3466	141587
239	3480	141541
240	3493	141461
241	3506	141376
242	3519	141324
243	3534	141312
244	3549	141323
245	3565	141378
246	3583	141490
247	3597	141459
248	3610	141405
249	3624	141352
250	3638	141321
251	3653	141341
252	3667	141299
253	3680	141220
254	3693	141147
255	3708	141165
256	3724	141212
257	3741	141269
258	3757	141331
259	3772	141341
260	3789	141407
261	3802	141343
262	3816	141290
263	3829	141235
264	3843	141198
265	3857	141147
266	3872	141152
267	3886	141140
268	3904	141231
269	3920	141286
270	3935	141287
271	3949	141242
272	3963	141231
273	3977	141202
274	3991	141167
275	4011	141342
276	4029	141451
277	4049	141617
278	4067	141712
279	4084	141791
280	4101	141875
281	4117	141897
282	4132	141899
283	4145	141836
284	4159	141779
285	4174	141787
286	4190	141824
287	4204	141798
288	4219	141771
289	4233	141758
290	4252	141876
291	4268	141903
292	4282	141884
293	4296	141830
294	4311	141835
295	4326	141851
296	4341	141845
297	4355	141799
298	4369	141779
299	4383	141733
300	4397	141714
301	4412	141710
302	4430	141787
303	4448	141891
304	4464	141903
305	4479	141915
306	4494	141901
307	4508	141875
308	4522	141832
309	4536	141802
310	4549	141750
311	4563	141716
312	4577	141669
313	4591	141626
314	4604	141582
315	4618	141527
316	4631	141469
317	4648	141526
318	4666	141623
319	4681	141601
320	4697	141644
321	4713	141655
322	4727	141640
323	4744	141680
324	4765	141853
325	4783	141940
326	4799	141987
327	4818	142084
328	4840	142276
329	4858	142370
330	4873	142364
331	4886	142291
332	4899	142240
333	4916	142271
334	4931	142276
335	4943	142192
336	4960	142233
337	4975	142235
338	4991	142262
339	5008	142301
340	5025	142344
341	5038	142291
342	5056	142367
343	5070	142317
344	5085	142307
345	5098	142248
346	5111	142192
347	5125	142167
348	5139	142125
349	5154	142122
350	5171	142154
351	5185	142142
352	5203	142201
353	5219	142235
354	5238	142329
355	5254	142336
356	5269	142330
357	5282	142274
358	5296	142235
359	5309	142178
360	5324	142168
361	5337	142098
362	5349	142029
363	5364	142015
364	5380	142021
365	5395	142023
366	5410	142013
367	5424	141980
368	5439	141962
369	5453	141944
370	5468	141931
371	5483	141918
372	5496	141864
373	5509	141811
374	5523	141761
375	5536	141716
376	5550	141688
377	5567	141711
378	5580	141664
379	5594	141634
380	5608	141606
381	5622	141559
382	5635	141501
383	5648	141441
384	5662	141407
385	5675	141350
386	5689	141318
387	5702	141257
388	5716	141239
389	5733	141275
390	5749	141300
391	5765	141325
392	5782	141360
393	5798	141373
394	5814	141376
395	5829	141377
396	5844	141377
397	5857	141327
398	5871	141282
399	5884	141225
400	5899	141227
401	5915	141233
402	5930	141217
403	5944	141196
404	5959	141180
405	5976	141217
406	5992	141232
